side,b,kv,truth,model,ape,stratum
new,4,573,7.676027715206146,7.295767431060085,0.04953868045483587,B
old,4,573,7.676027715206146,7.295767431060085,0.04953868045483587,B
new,4,577,7.676063105463982,7.29570114708622,0.049551697680418,B
old,4,577,7.676063105463982,7.29570114708622,0.049551697680418,B
new,4,581,7.676027715206146,7.295634863112355,0.04955595083903053,B
old,4,581,7.676027715206146,7.295634863112355,0.04955595083903053,B
new,4,585,7.676027715206146,7.295568579138489,0.04956458603112785,B
old,4,585,7.676027715206146,7.295568579138489,0.04956458603112785,B
new,4,589,7.673947140574455,7.295502295164624,0.04931553977077583,B
old,4,589,7.673947140574455,7.295502295164624,0.04931553977077583,B
new,4,593,7.673947140574455,7.295436011190759,0.049324177304062286,B
old,4,593,7.673947140574455,7.295436011190759,0.049324177304062286,B
new,4,597,7.673947140574455,7.295369727216894,0.04933281483734874,B
old,4,597,7.673947140574455,7.295369727216894,0.04933281483734874,B
new,4,601,7.673947140574455,7.295303443243029,0.0493414523706352,B
old,4,601,7.673947140574455,7.295303443243029,0.0493414523706352,B
new,4,605,7.673947140574455,7.295237159269163,0.04935008990392165,B
old,4,605,7.673947140574455,7.295237159269163,0.04935008990392165,B
new,4,609,7.673947140574455,7.295170875295298,0.04935872743720811,B
old,4,609,7.673947140574455,7.295170875295298,0.04935872743720811,B
new,4,613,7.673420011997223,7.295104591321433,0.049302060891271704,B
old,4,613,7.673420011997223,7.295104591321433,0.049302060891271704,B
new,4,617,7.673420011997223,7.295038307347568,0.049310699017916876,B
old,4,617,7.673420011997223,7.295038307347568,0.049310699017916876,B
new,4,621,7.673947140574455,7.2949720233737025,0.049384640037067475,B
old,4,621,7.673947140574455,7.2949720233737025,0.049384640037067475,B
new,4,625,7.677918300032616,7.294905739399837,0.04988494871469931,B
old,4,625,7.677918300032616,7.294905739399837,0.04988494871469931,B
new,4,629,7.678600028157234,7.294839455425972,0.04997793495220765,B
old,4,629,7.678600028157234,7.294839455425972,0.04997793495220765,B
new,4,633,7.678600028157234,7.294773171452107,0.049986567251535934,B
old,4,633,7.678600028157234,7.294773171452107,0.049986567251535934,B
new,4,637,7.6791662722826,7.294706887478242,0.050065250728068916,B
