side,bp,tot,kv,truth,model,ape,stratum
old,1,2896,256,194.5094596594572,206.75335452688515,0.06294755478147065,B
new,1,2896,4096,222.42004424333572,234.38101049383414,0.053776476356657305,B
old,1,2896,4096,222.42004424333572,241.49402631169187,0.08575657887869362,B
new,1,2896,2144,206.76624961197376,214.02149305981834,0.035089108892094684,B
old,1,2896,2144,206.76624961197376,226.6526529643155,0.09617818860506203,B
new,1,5792,0,378.1084455549717,387.4466560955625,0.0246971752426333,B
old,1,5792,0,378.1084455549717,396.9293066911632,0.04977635743779025,B
new,1,5792,256,381.37412816286087,397.1928179234965,0.04147814073502239,B
old,1,5792,256,381.37412816286087,401.19872018840397,0.05198200549429316,B
new,1,5792,4096,436.5316070616245,438.25295113492757,0.00394322895629421,B
old,1,5792,4096,436.5316070616245,465.3102776646847,0.06592574314784387,B
new,1,5792,2144,407.12171234190464,414.56812497127567,0.01829038443205765,B
old,1,5792,2144,407.12171234190464,435.4079875227842,0.0694786701946382,B
new,2,2048,0,138.12547829002142,142.9829765111208,0.03516728616063222,A
old,2,2048,0,138.12547829002142,146.24289516359568,0.05876842544957676,A
new,2,2048,2048,143.30640714615583,150.08262544870377,0.04728482443661419,A
old,2,2048,2048,143.30640714615583,148.79455044865608,0.0382965661605275,A
new,2,2048,1216,141.0534642636776,147.0185962438828,0.04228986513265857,B
old,2,2048,1216,141.0534642636776,152.4021162817204,0.0804563863587799,B
new,2,8192,0,503.54901514947414,512.1121797710657,0.017005622817174347,A
old,2,8192,0,503.54901514947414,521.248135715723,0.0351487542101439,A
new,2,8192,2048,521.4386004954576,523.5600601881742,0.004068474583011004,A
old,2,8192,2048,521.4386004954576,550.1235080882907,0.05501109347404925,A
new,2,8192,1216,514.1524877399206,525.1291244127012,0.021348990687628543,B
old,2,8192,1216,514.1524877399206,546.2988226485254,0.0625229589959034,B
new,4,2048,4096,140.8110400661826,151.7744604498148,0.0778590966907088,A
old,4,2048,4096,140.8110400661826,149.1057612001896,0.05890675283776311,A
new,4,2048,2432,140.1934875175357,145.77881211483876,0.039840114517476766,B
old,4,2048,2432,140.1934875175357,145.77353866913495,0.03980249903478077,B
new,4,8192,0,483.60645584762096,485.7430253177881,0.004417992035326281,A
old,4,8192,0,483.60645584762096,504.01078816503286,0.04219201805660154,A
new,4,8192,4096,503.1410725787282,503.8058627396822,0.0013212798500960713,A
old,4,8192,4096,503.1410725787282,524.9583460390568,0.04336213966494408,A
new,4,8192,2432,494.57382690161467,609.1511961679535,0.23166888952482237,B
old,4,8192,2432,494.57382690161467,519.9659323711174,0.05134138542789087,B
new,6,4038,0,246.92873284220695,251.87553254897472,0.02003330940805856,C
old,6,4038,0,246.92873284220695,256.7387752182159,0.039728233580163294,C
new,6,7302,0,426.8711041659117,435.60509107737744,0.02046047817767288,C
old,6,7302,0,426.8711041659117,450.97443444728924,0.05646512506034923,C
new,8,4096,0,246.11994810402393,254.99585829675198,0.03606335147192779,C
old,8,4096,0,246.11994810402393,259.92437824606895,0.05608822140743547,C
new,8,7424,0,433.6346033960581,442.47793150134385,0.020393501893133634,C
old,8,7424,0,433.6346033960581,458.24458630522713,0.05675281150635397,C
new,12,4044,0,243.63678321242332,252.19832486771028,0.03514059553077532,C
old,12,4044,0,243.63678321242332,257.0683203590283,0.05512934857169825,C
new,12,7308,0,421.8581560999155,435.9430996228184,0.03338786584836572,C
old,12,7308,0,421.8581560999155,451.331982899319,0.06986667526329088,C
new,16,4096,0,244.44083869457245,254.99585829675198,0.04318026258847839,C
old,16,4096,0,244.44083869457245,259.92437824606895,0.0633426870656548,C
new,8,8192,1536,476.8210705369711,586.0214878810872,0.22901760029425766,C
old,8,8192,1536,476.8210705369711,526.3156796684525,0.10380122060407934,C
new,8,8192,24576,535.8470901846886,649.2116845592716,0.2115614630575115,C
old,8,8192,24576,535.8470901846886,699.3610524397786,0.30515041557607836,C
