side,bp,tot,kv,truth,model,ape,stratum
new,6,1830,0,58.455598540604115,56.245054448804545,0.037815780643561336,C
old,6,1830,0,58.455598540604115,56.245054448804545,0.037815780643561336,C
new,6,2214,0,115.10914005339146,102.28060303837367,0.11144672794069596,C
old,6,2214,0,115.10914005339146,102.28060303837367,0.11144672794069596,C
new,6,4038,0,105.9065880253911,103.9533424025113,0.01844309838790685,C
old,6,4038,0,105.9065880253911,103.9533424025113,0.01844309838790685,C
new,8,1024,0,43.19154005497694,41.03352129459381,0.04996392250973838,C
old,8,1024,0,43.19154005497694,41.03352129459381,0.04996392250973838,C
new,8,1856,0,58.26550628989935,56.14635348320007,0.036370623747015184,C
old,8,1856,0,58.26550628989935,56.14635348320007,0.036370623747015184,C
new,8,2304,0,102.84007992595434,102.36313952015678,0.004637689956493269,C
old,8,2304,0,102.84007992595434,102.36313952015678,0.004637689956493269,C
new,8,4096,0,106.01819213479757,104.00653257966042,0.018974663825425536,C
old,8,4096,0,106.01819213479757,104.00653257966042,0.018974663825425536,C
new,8,8192,0,185.15274859964848,184.04574692249298,0.005978856298531862,C
old,8,8192,0,185.15274859964848,184.04574692249298,0.005978856298531862,C
new,12,1056,0,44.32801343500614,42.19294898211956,0.04816512826628288,C
old,12,1056,0,44.32801343500614,42.19294898211956,0.04816512826628288,C
new,12,1836,0,58.40032547712326,56.222277302895826,0.03729513759440649,C
old,12,1836,0,58.40032547712326,56.222277302895826,0.03729513759440649,C
new,12,2220,0,101.65678802877665,102.28610547049254,0.0061906091459210085,C
old,12,2220,0,101.65678802877665,102.28610547049254,0.0061906091459210085,C
new,12,4044,0,105.53502384573221,103.95884483463017,0.014935127256009822,C
old,12,4044,0,105.53502384573221,103.95884483463017,0.014935127256009822,C
new,12,8076,0,181.85245990753174,181.77901136004948,0.00040389086581289464,C
old,12,8076,0,181.85245990753174,181.77901136004948,0.00040389086581289464,C
new,16,1024,0,43.46472769975662,41.03352129459381,0.05593515785850476,C
old,16,1024,0,43.46472769975662,41.03352129459381,0.05593515785850476,C
new,16,1808,0,58.345358818769455,55.724219929787424,0.04492454827681721,C
old,16,1808,0,58.345358818769455,55.724219929787424,0.04492454827681721,C
new,16,2304,0,103.4447317942977,102.36313952015678,0.01045575019027251,C
old,16,2304,0,103.4447317942977,102.36313952015678,0.01045575019027251,C
new,16,4096,0,105.5403221398592,104.00653257966042,0.014532735253226223,C
old,16,4096,0,105.5403221398592,104.00653257966042,0.014532735253226223,C
new,16,8192,0,183.92912484705448,184.04574692249298,0.0006340598615661117,C
old,16,8192,0,183.92912484705448,184.04574692249298,0.0006340598615661117,C
new,24,984,0,43.68215659633279,40.5456387708264,0.07180318166273196,C
old,24,984,0,43.68215659633279,40.5456387708264,0.07180318166273196,C
new,24,1920,0,59.818181209266186,58.394838124513626,0.023794489500995986,C
old,24,1920,0,59.818181209266186,58.394838124513626,0.023794489500995986,C
new,64,1024,0,46.0858354344964,41.03352129459381,0.1096283509297264,C
old,64,1024,0,46.0858354344964,41.03352129459381,0.1096283509297264,C
new,6,2022,1152,61.97693571448326,59.9906764136915,0.032048362473777375,C
old,6,2022,1152,61.97693571448326,59.9906764136915,0.032048362473777375,C
new,6,2022,18432,69.02083475142717,68.07768990413138,0.013664639824952224,C
old,6,2022,18432,69.02083475142717,68.07768990413138,0.013664639824952224,C
new,6,2022,589824,304.11469750106335,316.7708734497633,0.041616456069689674,C
