tp,config,group,kind,b,tokens,kv,probe_med_ms,n_reps,spread,reference_ms,delta
4,prefill,B,prefill,1,2304,0,98.60611241310835,2,0.10316104250546813,105.02169430838251,-0.061088158380264164
4,prefill,B,prefill,1,2816,0,97.48727828264236,2,0.05550570020866641,105.95187758112397,-0.07989097967613201
4,prefill,B,prefill,1,3328,0,97.52070531249046,2,0.036688037652969484,106.88206085386541,-0.0875858443090302
4,prefill,B,prefill,1,3840,0,103.67433074861765,2,0.00017005112268550697,107.81224412660687,-0.0383807369145378
4,prefill,A,prefill,1,4096,0,108.63182041794062,2,0.007787811253646601,108.2773357629776,0.0032738583052966345
4,prefill,B,prefill,1,4096,384,110.90959887951612,2,0.002227641638104171,110.50060433110586,0.003701287887844891
4,prefill,B,prefill,1,4096,6144,126.89318973571062,2,0.0020884029621170267,125.52678250751882,0.010885383986560467
4,prefill,B,prefill,1,4096,98304,359.8064770922065,2,0.0020090373263459893,375.64582742294164,-0.04216564959445576
4,prefill,B,prefill,1,4352,0,116.19816441088915,2,0.0032231162980025725,113.96828410215676,0.01956579697851388
4,prefill,B,prefill,1,4864,0,128.54914739727974,2,0.01950204579346732,125.35018078051507,0.025520239355426
4,prefill,B,prefill,1,5376,0,137.30688486248255,2,0.0019198662544046958,136.7320774588734,0.004203895781383477
4,prefill,B,prefill,1,5888,0,148.53809121996164,2,0.0022235283031683413,148.1139741372317,0.0028634508337274066
4,prefill,B,prefill,1,6400,0,159.7343645989895,2,0.0022201405198103742,159.49587081559002,0.0014952975408072506
4,prefill,B,prefill,1,6912,0,172.86442685872316,2,0.0024189307181039952,170.87776749394834,0.011626201546934308
4,prefill,B,prefill,1,7424,0,183.5746243596077,2,0.0010405670789228234,182.25966417230666,0.007214762483364877
4,prefill,B,prefill,1,7936,0,193.8276458531618,2,8.222145931078026e-05,193.64156085066497,0.0009609765676302621
4,prefill,A,prefill,1,8192,0,199.21043887734413,2,0.0010941905814374135,199.33250918984413,-0.0006123954040218314
4,prefill,B,prefill,2,3328,0,98.88502396643162,2,0.06238508220604416,105.37920706338078,-0.06162679790371931
4,prefill,B,prefill,3,1920,0,58.63181967288256,2,0.003700871776968207,58.578609894529045,0.0009083482597029276
4,prefill,B,prefill,3,5376,0,131.80381804704666,2,0.0025874472433056804,131.09717298682205,0.005390238737609153
4,prefill,B,prefill,4,2816,0,96.03867772966623,2,0.018326380399986443,104.2186486956531,-0.0784885533286333
4,prefill,B,prefill,4,6400,0,150.71991365402937,2,0.0013983070026420547,150.12401656713337,0.003969365465448531
8,decode,B,decode,6,0,4092,8.091238094493747,2,0.01337273564042499,8.004105602945508,0.010885974757276349
8,decode,B,decode,8,0,192,7.8583130380138755,2,0.03570513312898009,7.7684177085757256,0.011571896982175986
8,decode,A,decode,8,0,256,7.909900974482298,2,0.01247828922731814,7.878495380282402,0.003986242636950069
8,decode,B,decode,8,0,1536,7.901763543486595,2,0.009398542322228396,8.055702783167362,-0.019109349466371554
8,decode,A,decode,8,0,8192,8.137227850966156,2,0.007021319774005803,8.000357076525688,0.017108083193194942
8,decode,B,decode,8,0,12288,8.048176416195929,2,0.0020771174138359268,8.105967193841934,-0.007129411736320441
8,decode,B,decode,8,0,98304,8.728850865736604,2,0.006226705701652827,8.575785905122757,0.01784850535067733
8,decode,A,decode,8,0,131072,8.880897890776396,2,0.010333174755341495,8.777346462011337,0.011797577914148967
8,decode,B,decode,8,0,786432,12.857911409810185,2,0.0035236656378987014,12.612646445631981,0.019445955710836946
8,decode,B,decode,8,0,1343480,16.614781110547483,2,0.07470481180257134,15.639360062777996,0.062369626625005545
8,decode,B,decode,12,0,8184,10.697838966734707,2,0.11627262476005301,8.975907564988276,0.19183925294229348
8,decode,B,decode,12,0,733992,13.153842417523265,2,0.04135528174606595,12.928535748535465,0.017427083265274076
8,decode,B,decode,20,0,16380,11.54501095879823,2,0.1090400026564247,9.849931990798051,0.17209042352614673
8,decode,B,decode,28,0,16380,11.631035944446921,2,0.012475408077430774,10.673043663786556,0.0897581150080755
8,decode,B,decode,36,0,32760,12.044581002555788,2,0.0007681455490158272,11.639514537451982,0.03480097591703162
8,decode,B,decode,36,0,1677708,27.180216507986188,2,4.822759684000793e-05,21.170273632234963,0.28388593270708473
